Data polled every ~10 seconds starting from ~45 minutes after the poll was created.
Left column is Iris votes, Right column is Kairo votes
- Data logged by MrL314

3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3407,4306
3378,4293
3407,4306
3378,4293
3407,4306
3378,4293
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3407,4306
3434,4325
3407,4306
3407,4306
3434,4325
3407,4306
3407,4306
3434,4325
3407,4306
3434,4325
3434,4325
3407,4306
3434,4325
3434,4325
3434,4325
3434,4325
